region,profession,year,workforce_supply
Vancouver Coastal,General Practitioners,2045,1389.15
Vancouver Coastal,Medical Specialists,2045,1843.16
Vancouver Coastal,Other Practitioners,2045,1863.25
Vancouver Island,General Practitioners,2045,2112.02
Vancouver Island,Medical Specialists,2045,1417.2
Vancouver Island,Other Practitioners,2045,2450.57
Fraser,General Practitioners,2046,3424.61
Fraser,Medical Specialists,2046,2396.7
Fraser,Other Practitioners,2046,4195.54
Interior,General Practitioners,2046,2458.22
Interior,Medical Specialists,2046,1476.53
Interior,Other Practitioners,2046,2780.12
Northern,General Practitioners,2046,424.8
Northern,Medical Specialists,2046,197.78
Northern,Other Practitioners,2046,270.2
Vancouver Coastal,General Practitioners,2046,1361.23
Vancouver Coastal,Medical Specialists,2046,1806.11
Vancouver Coastal,Other Practitioners,2046,1825.79
Vancouver Island,General Practitioners,2046,2132.49
Vancouver Island,Medical Specialists,2046,1430.94
Vancouver Island,Other Practitioners,2046,2474.33
